"AS23949","COMNET-AS-ID PT Comtronics Systems",{v: 0.00, f:'0.00%'},{v: 0.00, f: '0.00%'},2213,
"AS55701","ASNET-AS-ID PT. Usaha Adisanggoro",{v: 0.00, f:'0.00%'},{v: 0.00, f: '0.00%'},2204,
"AS38331","ITS-AS-ID-AP Institut Teknologi Sepuluh Nopember",{v: 0.00, f:'0.00%'},{v: 0.00, f: '0.00%'},2200,
"AS23756","PADINET-AS-ID PADINET - Padi Internet",{v: 0.00, f:'0.00%'},{v: 0.00, f: '0.00%'},2152,
"AS55653","SKYLINE-AS-ID Skyline Semesta, PT",{v: 0.00, f:'0.00%'},{v: 0.00, f: '0.00%'},2114,
"AS131711","ORANGE-ISP-AS-ID PT Global Teknologi Teraindo",{v: 0.00, f:'0.00%'},{v: 0.00, f: '0.00%'},2113,
"AS10217","NTT-NET-ID-AS PT. NTT Indonesia",{v: 0.05, f:'0.05%'},{v: 0.05, f: '0.05%'},2050,
"AS45706","TGG-AS-ID Tele Globe Global, PT",{v: 0.00, f:'0.00%'},{v: 0.00, f: '0.00%'},2044,
"AS133796","KEMENDAG-AS-ID Subbid Sistem Jaringan dan Infrastruktur",{v: 0.00, f:'0.00%'},{v: 0.00, f: '0.00%'},1957,
"AS132652","IDNIC-UNINA-AS-ID PT. Cahaya Buana Raksa",{v: 0.00, f:'0.00%'},{v: 0.00, f: '0.00%'},1956,
"AS9875","PESAT1-AS-AP PT. Pasifik Satelit Nusantara",{v: 0.26, f:'0.26%'},{v: 0.20, f: '0.20%'},1956,
"AS133838","INFOTEK-AS-ID PT Infotek Global Network",{v: 0.00, f:'0.00%'},{v: 0.00, f: '0.00%'},1951,
"AS55674","PUSKOM-UNY-AS-ID Universitas Negeri Yogyakarta",{v: 0.00, f:'0.00%'},{v: 0.00, f: '0.00%'},1942,
"AS59156","BALISOKET-AS-ID PT Bali Soket Informindo",{v: 0.00, f:'0.00%'},{v: 0.00, f: '0.00%'},1920,
"AS56233","ATSINDO-AS-ID PT Asia Teknologi Solusi",{v: 0.00, f:'0.00%'},{v: 0.00, f: '0.00%'},1917,
"AS58821","IDNIC-LJN-AS-ID PT Lintas Jaringan Nusantara",{v: 0.00, f:'0.00%'},{v: 0.00, f: '0.00%'},1889,
"AS58495","HSPNET-AS-ID PT Parsaoran Global Datatrans",{v: 0.00, f:'0.00%'},{v: 0.00, f: '0.00%'},1872,
"AS9228","CENTRALONLINE-ID-AS-AP PT. Total Info Kharisma",{v: 0.00, f:'0.00%'},{v: 0.00, f: '0.00%'},1863,
"AS38496","CNI-AS-ID PT Cyber Network Indonesia",{v: 0.00, f:'0.00%'},{v: 0.00, f: '0.00%'},1831,
"AS38142","UNAIR-AS-ID Universitas Airlangga",{v: 0.00, f:'0.00%'},{v: 0.00, f: '0.00%'},1817,
